Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Data Integrity Nightly Job","Checksums, schema diffs, drift reports. TYPE: Automation. SCHEDULE: Daily at 02:00 UTC. STEPS: 1) Pull latest data from all sources 2) Compute checksums for each table 3) Compare against previous day 4) Generate drift report 5) If drift > 0.1% create Linear ticket 6) Upload report to evidence locker. RETRY: 3 attempts with exponential backoff. FAIL ACTION: Create P1 incident page on-call. ROLLBACK: Not applicable (read-only job).",2,Backlog,automation|validation,8,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Benchmark Pipeline Runner","Parameter grid runs, artifact bundling, reporting. TYPE: Automation. SCHEDULE: Weekly Sunday 00:00 UTC + On-demand. STEPS: 1) Load parameter configurations 2) Execute grid across all models 3) Collect metrics and artifacts 4) Bundle into versioned ZIP 5) Hash-stamp and upload 6) Update Linear milestone with results. RETRY: 2 attempts per model. FAIL ACTION: Partial results published ticket for failures. ROLLBACK: Revert to previous benchmark set.",2,Backlog,automation|validation,13,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Backtest Orchestrator Automation","Sliding windows, embargo logic, failure handling. TYPE: Automation. SCHEDULE: On milestone completion. STEPS: 1) Validate embargo periods 2) Execute sliding window backtests 3) Compare against thresholds 4) Flag regressions 5) Generate signed report 6) Block Validation state if thresholds missed. RETRY: 3 attempts on transient errors. FAIL ACTION: Block progression escalate. ROLLBACK: Mark milestone as failed requeue.",1,Backlog,automation|gate,13,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Key Issuance Service","Mint soulbound keys, handle retries, audit logging. TYPE: Automation. TRIGGER: On payment confirmation. STEPS: 1) Validate payment webhook 2) Generate unique key 3) Stamp with expiry date 4) Associate with member record 5) Enable gated access 6) Log to audit trail. RETRY: 5 attempts with backoff. FAIL ACTION: Hold payment notify support. ROLLBACK: Revoke key refund payment.",2,Backlog,automation|event,8,S-DNA,,,Genesis Event,"M9: Key Issuance Mechanism"
"Payment Reconciliation Job","Nightly balance checks, discrepancy handling. TYPE: Automation. SCHEDULE: Daily at 04:00 UTC. STEPS: 1) Pull transactions from gateway 2) Compare against internal ledger 3) Flag discrepancies 4) Create ticket for each mismatch 5) Mark access pending until cleared. RETRY: 3 attempts. FAIL ACTION: Escalate to finance. ROLLBACK: Not applicable.",2,Backlog,automation|payment,5,S-DNA,,,Subscription,"M18: Renewal/Dunning and Churn Rescue"
"Content Drop Assembler","Insight packaging, claims checking, delivery. TYPE: Automation. SCHEDULE: Per tier cadence (Weekly/Biweekly). STEPS: 1) Pull latest insights 2) Run claims checker 3) Package for each tier 4) Deploy to delivery channels 5) Log coverage stats to Linear 6) Alert on delivery failures. RETRY: 3 attempts per channel. FAIL ACTION: Partial delivery escalate. ROLLBACK: Recall and resend corrected.",3,Backlog,automation|subscription,8,S-DNA,,,Subscription,"M17: Delivery Cadence and Packaging"
"Auction Settlement Processor","Identity validation, fund confirmation, ledger posting. TYPE: Automation. TRIGGER: On auction close. STEPS: 1) Validate winner identity 2) Confirm funds cleared 3) Post final ledger 4) Trigger key award 5) Generate press release draft 6) Notify stakeholders. RETRY: 2 attempts on fund verification. FAIL ACTION: Reserve winner notified. ROLLBACK: Void auction refund all.",2,Backlog,automation|event,8,S-DNA,,,Genesis Event,"M14: Auction Mechanics"
"Brand Monitoring Service","Mentions, domain lookups, media flags. TYPE: Automation. SCHEDULE: Every 15 minutes. STEPS: 1) Query monitoring APIs 2) Filter for relevance 3) Assess threat level 4) Create incident if high 5) Push to security dashboard 6) Inject runbook link. RETRY: Continuous. FAIL ACTION: Fall back to hourly. ROLLBACK: Not applicable.",2,Backlog,automation|security,5,S-DNA,,,Protection,"M22: Threat Model and Response Playbooks"
"Model Evaluation Runner","Scheduled/on-demand model assessment. TYPE: Automation. SCHEDULE: Daily + On code change. STEPS: 1) Pull latest model weights 2) Run evaluation suite 3) Compare against baselines 4) Push metrics to dashboard 5) Open Change issue if threshold slips 6) Update Linear with artifacts. RETRY: 2 attempts. FAIL ACTION: Block deployment. ROLLBACK: Revert to previous model.",1,Backlog,automation|validation,13,S-DNA,,,Phase 1,"M2: Benchmark Baselines"
"Weekly Review Generator","Auto-create summary issues with metrics. TYPE: Automation. SCHEDULE: Every Monday 09:00 UTC. STEPS: 1) Aggregate weeks metrics 2) Summarize completed issues 3) List blockers 4) Generate weekly review issue 5) Tag stakeholders 6) Schedule meeting reminder. RETRY: Not applicable. FAIL ACTION: Manual creation. ROLLBACK: Not applicable.",3,Backlog,automation,3,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
