Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Linear Workflow Configuration","Set up custom workflow states with transition rules. ACCEPTANCE: 10 states configured (Backlog to Completed); Transition rules enforced; Evidence requirements documented; Team trained on process.",2,Backlog,gate,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Zero-Chance Gate Implementation","Validation, security, claims, and payment gates. ACCEPTANCE: Validation gate blocks without evidence; Security gate blocks high-risk without counsel; Claims gate blocks without evidence links; Payment gate withholds keys until confirmed.",2,Backlog,gate|automation,8,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Data Dashboard Setup","Data integrity, model performance, funnel metrics. ACCEPTANCE: Real-time data integrity view; Model performance trends; Funnel conversion rates; Export functionality.",3,Backlog,automation,8,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Revenue Dashboard Setup","Revenue by tier, MRR, churn, LTV. ACCEPTANCE: Revenue breakdown by cohort; Churn rate tracking; LTV calculations; Forecasting view.",3,Backlog,automation,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"NPS and Feedback Dashboard","Member satisfaction and feedback trends. ACCEPTANCE: NPS score tracking; Feedback categorization; Trend analysis; Alert on drops.",3,Backlog,automation|subscription,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Security Incident Dashboard","Threat heatmap and incident tracking. ACCEPTANCE: Active incidents visible; Threat level indicators; Resolution time tracking; Historical analysis.",3,Backlog,automation|security,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Alert System Configuration","Regression, drift, payment, security alerts. ACCEPTANCE: Alert thresholds defined; Notification channels configured; Escalation rules set; On-call rotation integrated.",2,Backlog,automation,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"SLO Definition and Tracking","Define targets and auto-raise tickets on breach. ACCEPTANCE: SLOs for all critical systems; Automated breach detection; Tickets created on breach; Weekly review cadence set.",2,Backlog,automation|gate,5,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Weekly Review Automation","Scheduled summary issues with metrics. ACCEPTANCE: Weekly issue auto-created; Key metrics summarized; Action items tracked; Stakeholders notified.",3,Backlog,automation,3,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
"Runbook Library Creation","Step-by-step procedures for all critical operations. ACCEPTANCE: Runbook for each automation; Rollback steps included; Links to monitoring; Version controlled.",2,Backlog,automation,8,S-DNA,,,Ops,"Ops Backbone — Automation, Observability, Runbooks"
