Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Narrative Deck Creation","Build empirical value deck with methodology guardrails, limits, and ethics. ACCEPTANCE: Single-page summary complete; Deep dossier companion document; Reviewed by 2 external advisors; Version controlled and hash-stamped.",2,Backlog,compliance|evidence,5,S-DNA,,,Phase 2,"M6: Messaging and Collateral"
"FAQ Documentation","Comprehensive FAQ covering methodology, limitations, and ethical stance. ACCEPTANCE: 25+ common questions addressed; Legal review passed; Published to secure portal; Version controlled.",2,Backlog,compliance,3,S-DNA,,,Phase 2,"M6: Messaging and Collateral"
"Host Script Development","Create script for host-led presentation with founder off-stage. ACCEPTANCE: Full script with timing markers; Contingency prompts included; Q&A boundaries defined; Approved by all stakeholders.",2,Backlog,event,3,S-DNA,,,Phase 2,"M7: Host-Led Presentation Assets"
"Rehearsal Execution","Conduct 2 full rehearsals with live-switch testing. ACCEPTANCE: 2 rehearsals completed; Issues documented and resolved; Timing validated; Fallback procedures tested.",2,Backlog,event,5,S-DNA,,,Phase 2,"M7: Host-Led Presentation Assets"
"Tier Matrix Definition","Define Early Believer, Whale Table, Ghost Ticket tiers. ACCEPTANCE: Benefits clearly documented; Limits enforced technically; Refund policy published; Price tests documented.",2,Backlog,payment,3,S-DNA,,,Phase 2,"M8: Pricing and Tiers"
"Soulbound Key Architecture","Implement non-transferable key issuance, expiry, and revocation. ACCEPTANCE: Issuance logs captured; Gated access confirms membership; Revocation tested end-to-end; Audit trail complete.",2,Backlog,event|gate,8,S-DNA,,,Phase 2,"M9: Key Issuance Mechanism"
"Payment Gateway Integration","Integrate card, wire, and crypto payment methods. ACCEPTANCE: All 3 methods tested with live transactions; Invoicing automated; Zero reconciliation drift; Refund SLA defined and tested.",2,Backlog,payment,8,S-DNA,,,Phase 2,"M10: Financial Ops Ready"
"Dunning Sequence Setup","Implement payment retry and dunning workflows. ACCEPTANCE: 30/7/1 day reminders configured; Grace period logic implemented; Recovery rate tracking live; Escalation paths defined.",3,Backlog,payment|automation,5,S-DNA,,,Phase 2,"M10: Financial Ops Ready"
"Collateral Publisher Automation","Versioned static site updates with checksum embed and rollback. ACCEPTANCE: Deploy pipeline automated; Checksum recorded per version; One-click rollback tested; CDN cache invalidation working.",3,Backlog,automation,5,S-DNA,,,Phase 2,"M6: Messaging and Collateral"
"Event Asset Bundler","Compile slides, videos, prompts with checksum and release tags. ACCEPTANCE: Bundle script automated; Checksums posted to Linear; Git release tags created; Asset inventory documented.",3,Backlog,automation|event,5,S-DNA,,,Phase 2,"M7: Host-Led Presentation Assets"
"Key Mint/Gate System","Issuance script with retries, gating webhook, expiry crons. ACCEPTANCE: Mint succeeds with retry logic; Webhook validates membership; Expiry cron runs daily; Audit log to dashboard.",2,Backlog,automation|event,8,S-DNA,,,Phase 2,"M9: Key Issuance Mechanism"
"Payment Webhooks Handler","Success/fail tickets, refund automation with supervisor approval. ACCEPTANCE: Webhook captures all payment events; Auto-tickets created on failure; Refund requires approval; Dunning sequence triggers correctly.",2,Backlog,automation|payment,5,S-DNA,,,Phase 2,"M10: Financial Ops Ready"
"Compliance Guardrails Engine","Scripts blocking claims beyond validated metrics. ACCEPTANCE: Regex + rule engine implemented; Redlines enforced in copy; Override requires evidence link; Audit trail for exceptions.",2,Backlog,compliance|automation,5,S-DNA,,,Phase 2,"M6: Messaging and Collateral"
