Title,Description,Priority,State,Labels,Estimate,Team,Assignee,Project,Milestone,Parent
"Cohort Tier Architecture","$500, $1,500, $5,000/month tiers with differential entitlements. ACCEPTANCE: SLA table published; Entitlements enforced in gate; Audit of access controls passed; Upgrade/downgrade logic tested.",3,Backlog,subscription|payment,5,S-DNA,,,Subscription,"M16: Pricing Verification and Cohort Design"
"Insight Packaging Design","Weekly/biweekly drop templates with alert formats. ACCEPTANCE: Templates approved by stakeholders; Version stamps implemented; Delivery analytics > 70% open; Revision policy documented.",3,Backlog,subscription,5,S-DNA,,,Subscription,"M17: Delivery Cadence and Packaging"
"Delivery Cadence Configuration","Schedule setup for insight drops across tiers. ACCEPTANCE: Cron jobs configured; Tier-specific timing honored; Timezone handling correct; Manual override available.",3,Backlog,subscription|automation,3,S-DNA,,,Subscription,"M17: Delivery Cadence and Packaging"
"Renewal Reminder Sequence","30/7/1 day reminders with grace periods. ACCEPTANCE: Email templates approved; Timing accurate to SLA; Grace period logic working; Downgrade offers integrated.",3,Backlog,subscription|payment,3,S-DNA,,,Subscription,"M18: Renewal/Dunning and Churn Rescue"
"Churn Rescue Flows","Downgrade offers and win-back campaigns. ACCEPTANCE: Downgrade path tested; Win-back sequence configured; Churn reason codes captured; Analytics dashboard live.",3,Backlog,subscription,5,S-DNA,,,Subscription,"M18: Renewal/Dunning and Churn Rescue"
"Member Feedback System","Structured surveys with NPS and anomaly detection. ACCEPTANCE: Survey templates deployed; NPS tracking live; Anomaly pipeline operational; Response SLA met.",3,Backlog,subscription,5,S-DNA,,,Subscription,"M19: Member Observability and NPS"
"Claims Governance Framework","Every claim linked to evidence artifact. ACCEPTANCE: Claims database created; Evidence links mandatory; Review workflow defined; Publish blocked without approval.",3,Backlog,compliance|gate,5,S-DNA,,,Subscription,"M20: Compliance and Claims Governance"
"Drop Scheduler Automation","Content assembly, multi-channel delivery, logging. ACCEPTANCE: Scheduler runs on cadence; Multi-channel (email/Slack/app) working; Logs to Linear with coverage stats; Retry on delivery failures.",3,Backlog,automation|subscription,8,S-DNA,,,Subscription,"M17: Delivery Cadence and Packaging"
"Entitlement Gate System","Tier-based access rules with audit reports. ACCEPTANCE: Access correctly gated per tier; Upgrades instant; Downgrades respect grace period; Monthly audit reports generated.",3,Backlog,automation|subscription,5,S-DNA,,,Subscription,"M16: Pricing Verification and Cohort Design"
"Renewal/Dunning Workflow Automation","Auto-reminders, payment retries, human escalation. ACCEPTANCE: Reminders sent per schedule; 3 payment retries with backoff; Human escalation on final fail; Success/fail logged.",3,Backlog,automation|payment,5,S-DNA,,,Subscription,"M18: Renewal/Dunning and Churn Rescue"
"Feedback Ingestion Pipeline","Survey parsing, topic clustering, auto-improvement tasks. ACCEPTANCE: Surveys parsed automatically; Topics clustered for analysis; Tasks created prioritized by ARR impact; Weekly summary to Linear.",3,Backlog,automation|subscription,8,S-DNA,,,Subscription,"M19: Member Observability and NPS"
"Claims Checker Automation","Regex + rule engine for claim validation. ACCEPTANCE: All claims scanned before publish; Overreach flagged automatically; Evidence links required; Bypass requires approval + log.",3,Backlog,automation|compliance,5,S-DNA,,,Subscription,"M20: Compliance and Claims Governance"
